localidad,hora_dia,primary_category,promedio_clips_hora
VARILLAL,9,Bird,39.84
VARILLAL,9,Insect,58.61
VARILLAL,9,Mammal,1.42
VARILLAL,10,Amphibian,0.28
VARILLAL,10,Anthropogenic,48.35
VARILLAL,10,Bird,39.12
VARILLAL,10,Insect,60.93
VARILLAL,10,Mammal,0.89
VARILLAL,11,Amphibian,0.74
VARILLAL,11,Anthropogenic,38.72
VARILLAL,11,Bird,41.07
VARILLAL,11,Insect,70.47
VARILLAL,11,Mammal,1.19
VARILLAL,12,Amphibian,2.46
VARILLAL,12,Anthropogenic,39.74
VARILLAL,12,Bird,31.84
VARILLAL,12,Insect,61.77
VARILLAL,12,Mammal,1.07
VARILLAL,13,Amphibian,2.91
VARILLAL,13,Anthropogenic,45.82
VARILLAL,13,Bird,40.79
VARILLAL,13,Insect,77.21
VARILLAL,13,Mammal,1.4
VARILLAL,14,Amphibian,7.04
VARILLAL,14,Anthropogenic,43.7
VARILLAL,14,Bird,31.18
VARILLAL,14,Insect,109.0
VARILLAL,14,Mammal,1.25
VARILLAL,15,Amphibian,10.6
VARILLAL,15,Anthropogenic,38.61
VARILLAL,15,Bird,28.77
VARILLAL,15,Insect,108.86
VARILLAL,15,Mammal,1.11
VARILLAL,16,Amphibian,5.26
VARILLAL,16,Anthropogenic,34.77
VARILLAL,16,Bird,17.84
VARILLAL,16,Insect,101.88
VARILLAL,16,Mammal,1.16
VARILLAL,17,Amphibian,5.12
VARILLAL,17,Anthropogenic,55.58
VARILLAL,17,Bird,18.56
VARILLAL,17,Insect,106.14
VARILLAL,17,Mammal,0.65
VARILLAL,18,Amphibian,6.54
VARILLAL,18,Anthropogenic,50.46
VARILLAL,18,Bird,8.28
VARILLAL,18,Insect,115.95
VARILLAL,18,Mammal,0.35
VARILLAL,19,Amphibian,4.35
VARILLAL,19,Anthropogenic,39.89
VARILLAL,19,Bird,6.0
VARILLAL,19,Insect,130.16
VARILLAL,19,Mammal,0.56
VARILLAL,20,Amphibian,2.65
VARILLAL,20,Anthropogenic,51.0
VARILLAL,20,Bird,3.3
VARILLAL,20,Insect,109.53
VARILLAL,20,Mammal,0.12
