localidad,ciclo_hidrologico,hora_dia,primary_category,promedio_clips_hora
PAUJIL,Vaciante,15,Amphibian,12.38
PAUJIL,Vaciante,15,Anthropogenic,33.24
PAUJIL,Vaciante,15,Bird,27.1
PAUJIL,Vaciante,15,Insect,81.76
PAUJIL,Vaciante,15,Mammal,0.43
PAUJIL,Vaciante,16,Amphibian,11.86
PAUJIL,Vaciante,16,Anthropogenic,31.19
PAUJIL,Vaciante,16,Bird,29.62
PAUJIL,Vaciante,16,Insect,88.19
PAUJIL,Vaciante,16,Mammal,1.1
PAUJIL,Vaciante,17,Amphibian,18.05
PAUJIL,Vaciante,17,Anthropogenic,31.52
PAUJIL,Vaciante,17,Bird,18.81
PAUJIL,Vaciante,17,Insect,89.0
PAUJIL,Vaciante,17,Mammal,0.57
PAUJIL,Vaciante,18,Amphibian,20.52
PAUJIL,Vaciante,18,Anthropogenic,31.1
PAUJIL,Vaciante,18,Bird,4.57
PAUJIL,Vaciante,18,Insect,96.81
PAUJIL,Vaciante,18,Mammal,0.19
PAUJIL,Vaciante,19,Amphibian,18.76
PAUJIL,Vaciante,19,Anthropogenic,20.1
PAUJIL,Vaciante,19,Bird,0.19
PAUJIL,Vaciante,19,Insect,124.57
PAUJIL,Vaciante,19,Mammal,0.1
PAUJIL,Vaciante,20,Amphibian,25.0
PAUJIL,Vaciante,20,Anthropogenic,14.86
PAUJIL,Vaciante,20,Bird,1.0
PAUJIL,Vaciante,20,Insect,117.33
PAUJIL,Vaciante,20,Mammal,0.19
PAUJIL,Vaciante,21,Amphibian,18.38
PAUJIL,Vaciante,21,Anthropogenic,28.14
PAUJIL,Vaciante,21,Bird,0.33
PAUJIL,Vaciante,21,Insect,109.71
PAUJIL,Vaciante,21,Mammal,0.14
PAUJIL,Vaciante,22,Amphibian,27.48
PAUJIL,Vaciante,22,Anthropogenic,25.19
PAUJIL,Vaciante,22,Bird,1.62
PAUJIL,Vaciante,22,Insect,110.52
PAUJIL,Vaciante,22,Mammal,0.1
PAUJIL,Vaciante,23,Amphibian,22.67
PAUJIL,Vaciante,23,Anthropogenic,33.14
PAUJIL,Vaciante,23,Bird,0.62
PAUJIL,Vaciante,23,Insect,111.57
PAUJIL,Vaciante,23,Mammal,0.62
QUISTOCOCHA,Creciente,0,Amphibian,2.89
QUISTOCOCHA,Creciente,0,Anthropogenic,27.58
QUISTOCOCHA,Creciente,0,Bird,10.11
QUISTOCOCHA,Creciente,0,Insect,215.79
QUISTOCOCHA,Creciente,0,Mammal,0.21
QUISTOCOCHA,Creciente,1,Amphibian,0.79
QUISTOCOCHA,Creciente,1,Anthropogenic,25.32
QUISTOCOCHA,Creciente,1,Bird,15.32
QUISTOCOCHA,Creciente,1,Insect,175.68
QUISTOCOCHA,Creciente,1,Mammal,4.0
QUISTOCOCHA,Creciente,2,Amphibian,1.58
QUISTOCOCHA,Creciente,2,Anthropogenic,28.47
QUISTOCOCHA,Creciente,2,Bird,10.68
QUISTOCOCHA,Creciente,2,Insect,182.32
QUISTOCOCHA,Creciente,2,Mammal,0.58
QUISTOCOCHA,Creciente,3,Amphibian,4.11
QUISTOCOCHA,Creciente,3,Anthropogenic,28.84
QUISTOCOCHA,Creciente,3,Bird,39.68
QUISTOCOCHA,Creciente,3,Insect,159.37
QUISTOCOCHA,Creciente,3,Mammal,2.32
QUISTOCOCHA,Creciente,4,Amphibian,4.42
QUISTOCOCHA,Creciente,4,Anthropogenic,33.53
QUISTOCOCHA,Creciente,4,Bird,26.89
QUISTOCOCHA,Creciente,4,Insect,170.74
QUISTOCOCHA,Creciente,4,Mammal,0.47
QUISTOCOCHA,Creciente,5,Amphibian,1.53
QUISTOCOCHA,Creciente,5,Anthropogenic,42.05
QUISTOCOCHA,Creciente,5,Bird,51.95
QUISTOCOCHA,Creciente,5,Insect,155.89
