localidad,ciclo_hidrologico,temporada_base,hora_dia,primary_category,promedio_clips_hora
12 DE ABRIL,Vaciante,2024,17,Amphibian,3.0
12 DE ABRIL,Vaciante,2024,17,Anthropogenic,14.13
12 DE ABRIL,Vaciante,2024,17,Bird,23.88
12 DE ABRIL,Vaciante,2024,17,Insect,88.38
12 DE ABRIL,Vaciante,2024,17,Mammal,1.25
12 DE ABRIL,Vaciante,2024,18,Amphibian,10.5
12 DE ABRIL,Vaciante,2024,18,Anthropogenic,11.63
12 DE ABRIL,Vaciante,2024,18,Bird,7.0
12 DE ABRIL,Vaciante,2024,18,Insect,106.5
12 DE ABRIL,Vaciante,2024,19,Amphibian,1.88
12 DE ABRIL,Vaciante,2024,19,Anthropogenic,6.5
12 DE ABRIL,Vaciante,2024,19,Bird,0.25
12 DE ABRIL,Vaciante,2024,19,Insect,118.38
12 DE ABRIL,Vaciante,2024,20,Amphibian,11.0
12 DE ABRIL,Vaciante,2024,20,Anthropogenic,4.0
12 DE ABRIL,Vaciante,2024,20,Bird,2.88
12 DE ABRIL,Vaciante,2024,20,Insect,107.25
12 DE ABRIL,Vaciante,2024,21,Amphibian,24.0
12 DE ABRIL,Vaciante,2024,21,Anthropogenic,8.38
12 DE ABRIL,Vaciante,2024,21,Bird,1.88
12 DE ABRIL,Vaciante,2024,21,Insect,90.75
12 DE ABRIL,Vaciante,2024,22,Amphibian,27.88
12 DE ABRIL,Vaciante,2024,22,Anthropogenic,6.0
12 DE ABRIL,Vaciante,2024,22,Bird,0.5
12 DE ABRIL,Vaciante,2024,22,Insect,89.75
12 DE ABRIL,Vaciante,2024,23,Amphibian,17.38
12 DE ABRIL,Vaciante,2024,23,Anthropogenic,7.0
12 DE ABRIL,Vaciante,2024,23,Bird,1.0
12 DE ABRIL,Vaciante,2024,23,Insect,72.5
12 DE ABRIL,Vaciante,2025,0,Amphibian,35.5
12 DE ABRIL,Vaciante,2025,0,Anthropogenic,61.5
12 DE ABRIL,Vaciante,2025,0,Bird,3.5
12 DE ABRIL,Vaciante,2025,0,Insect,230.5
12 DE ABRIL,Vaciante,2025,0,Mammal,2.0
12 DE ABRIL,Vaciante,2025,1,Amphibian,25.5
12 DE ABRIL,Vaciante,2025,1,Anthropogenic,71.5
12 DE ABRIL,Vaciante,2025,1,Bird,6.0
12 DE ABRIL,Vaciante,2025,1,Insect,209.0
12 DE ABRIL,Vaciante,2025,2,Amphibian,29.0
12 DE ABRIL,Vaciante,2025,2,Anthropogenic,49.0
12 DE ABRIL,Vaciante,2025,2,Bird,26.0
12 DE ABRIL,Vaciante,2025,2,Insect,202.5
12 DE ABRIL,Vaciante,2025,2,Mammal,2.0
12 DE ABRIL,Vaciante,2025,3,Amphibian,31.0
12 DE ABRIL,Vaciante,2025,3,Anthropogenic,54.0
12 DE ABRIL,Vaciante,2025,3,Bird,7.0
12 DE ABRIL,Vaciante,2025,3,Insect,212.5
12 DE ABRIL,Vaciante,2025,4,Amphibian,6.5
